system:index,landcover,remapped,.geo
0_0,ForestNaturalAreas,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.250415361066326,45.48251131872708]}"
1_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.95415555464556,39.88043754390092]}"
2_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.896119813009587,39.6299872426884]}"
3_0,ForestNaturalAreas,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.13383690859687,40.85079771380683]}"
4_0,Water,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.48667228078976,43.813082194719364]}"
5_0,ForestNaturalAreas,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.934572281451754,43.56335054573413]}"
6_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.45687108476625,42.116523949131235]}"
7_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.35748539436967,41.4774624560086]}"
8_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.736228841000015,38.659447409725665]}"
9_0,ForestNaturalAreas,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.667956879406931,41.85816847341846]}"
10_0,Water,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.663842926227385,43.5187941076418]}"
11_0,AgriculturalArea,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.357863017610724,41.35744753405024]}"
12_0,AgriculturalArea,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.70786037514924,40.33965631714282]}"
13_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.478043879780362,39.70095415013384]}"
14_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.773787568439914,36.99522851436584]}"
15_0,AgriculturalArea,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.250576726995744,45.41855127049777]}"
16_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.358392858217494,40.81414645021475]}"
17_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.86519947010847,43.547001207563156]}"
18_0,ForestNaturalAreas,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.953796228531912,42.74821925692408]}"
19_0,AgriculturalArea,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.41228262670096,43.56119458905225]}"
20_0,ForestNaturalAreas,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.845639068323921,43.373267031614446]}"
21_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.0510168136829,42.41422563428844]}"
22_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.526184430445465,43.61742912583813]}"
23_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.16473895437058,42.882786886485185]}"
24_0,AgriculturalArea,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.91442714767822,45.62498412278843]}"
25_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.226893223467949,43.52705860825571]}"
26_0,AgriculturalArea,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.213252553994884,38.73328892608029]}"
27_0,ForestNaturalAreas,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.089985399886283,36.958577250773764]}"
28_0,ForestNaturalAreas,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.64531933424712,42.25486450288564]}"
29_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.908857592916679,41.336606619458664]}"
30_0,AgriculturalArea,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[18.46244521380964,41.82870373209934]}"
31_0,AgriculturalArea,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.314577943761716,40.684609386244716]}"
32_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.750260856559684,41.20491359880674]}"
33_0,Water,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.809499348211209,38.64974560465718]}"
34_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.049565786382756,38.56368700043853]}"
35_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.387866748100317,38.827791693969665]}"
36_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.080463257874616,38.18980817918798]}"
37_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.215376490703814,38.30479253555528]}"
38_0,AgriculturalArea,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.396297188925486,46.773031055893185]}"
39_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.27145881012398,41.86679230014601]}"
40_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.881944728647904,43.01699518993264]}"
41_0,Water,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.519393828540966,37.731128395116556]}"
42_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.150886601867734,39.17382274141251]}"
43_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.120698634039467,39.50206714622978]}"
44_0,Water,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.022243278899968,43.072331411434405]}"
45_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.078818844672092,40.64795812265264]}"
46_0,ForestNaturalAreas,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.773926062960076,43.73618640639873]}"
47_0,ForestNaturalAreas,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.344567951405756,36.7934669015526]}"
48_0,AgriculturalArea,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.557266139276,46.071806145109484]}"
49_0,AgriculturalArea,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.34205266861022,40.930208784922996]}"
50_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.85496782443321,41.7652826730405]}"
51_0,ForestNaturalAreas,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.373839306822497,46.341480393402165]}"
52_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.292097190249471,44.683729368088]}"
53_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.611704045493644,41.32618616216288]}"
54_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.132183346830644,42.76995848679977]}"
55_0,Water,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.719865779983486,38.77443176609297]}"
56_0,AgriculturalArea,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.03428070370717,36.680818164924005]}"
57_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.284007778410546,38.10446822719663]}"
58_0,AgriculturalArea,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[17.593415007952416,40.82816016864702]}"
59_0,AgriculturalArea,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.536070472852632,45.351357287245634]}"
60_0,AgriculturalArea,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.769452783666884,46.81489254813315]}"
61_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.050800556371266,43.315954516487615]}"
62_0,AgriculturalArea,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.998145557876308,44.06119687619317]}"
63_0,ForestNaturalAreas,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[16.960641721818625,42.5026198582458]}"
64_0,Water,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.335193452477952,41.73114669224396]}"
65_0,AgriculturalArea,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.990640878026365,39.12908664026335]}"
66_0,AgriculturalArea,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.146920291772055,46.24248604909219]}"
